,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_steps,strong_params,strong_steps
247,0.645,0.66,0.645,0.59,1.0,91000.0,0.41,31000.0
248,0.645,0.735,0.635,0.6,1.0,91000.0,0.41,61000.0
249,0.645,0.715,0.66,0.64,1.0,91000.0,0.41,91000.0
250,0.635,0.635,0.635,0.5,2.8,1000.0,1.4,1000.0
251,0.635,0.635,0.635,0.48,2.8,1000.0,1.4,121000.0
252,0.635,0.605,0.635,0.575,2.8,1000.0,1.4,31000.0
253,0.635,0.635,0.635,0.535,2.8,1000.0,1.4,61000.0
254,0.635,0.57,0.635,0.52,2.8,1000.0,1.4,91000.0
255,0.635,0.65,0.635,0.545,2.8,1000.0,0.16,1000.0
256,0.635,0.635,0.635,0.45,2.8,1000.0,0.16,121000.0
257,0.635,0.675,0.635,0.51,2.8,1000.0,0.16,31000.0
258,0.635,0.63,0.635,0.505,2.8,1000.0,0.16,91000.0
259,0.635,0.64,0.635,0.45,2.8,1000.0,1.0,1000.0
260,0.635,0.57,0.635,0.48,2.8,1000.0,1.0,121000.0
261,0.635,0.655,0.635,0.52,2.8,1000.0,1.0,31000.0
262,0.635,0.665,0.635,0.465,2.8,1000.0,1.0,61000.0
263,0.635,0.63,0.635,0.575,2.8,1000.0,1.0,91000.0
264,0.635,0.64,0.635,0.565,2.8,1000.0,2.8,1000.0
265,0.635,0.57,0.635,0.515,2.8,1000.0,2.8,121000.0
266,0.635,0.635,0.635,0.455,2.8,1000.0,2.8,31000.0
267,0.635,0.635,0.635,0.485,2.8,1000.0,2.8,61000.0
268,0.635,0.635,0.635,0.54,2.8,1000.0,2.8,91000.0
269,0.635,0.565,0.635,0.515,2.8,1000.0,0.41,1000.0
270,0.635,0.58,0.635,0.45,2.8,1000.0,0.41,121000.0
271,0.635,0.66,0.635,0.6,2.8,1000.0,0.41,31000.0
272,0.635,0.735,0.635,0.58,2.8,1000.0,0.41,61000.0
273,0.635,0.715,0.635,0.59,2.8,1000.0,0.41,91000.0
274,0.645,0.635,0.645,0.54,2.8,121000.0,1.4,1000.0
275,0.645,0.635,0.645,0.6,2.8,121000.0,1.4,121000.0
276,0.645,0.605,0.645,0.59,2.8,121000.0,1.4,31000.0
277,0.645,0.635,0.64,0.58,2.8,121000.0,1.4,61000.0
278,0.645,0.57,0.645,0.55,2.8,121000.0,1.4,91000.0
279,0.645,0.65,0.65,0.62,2.8,121000.0,0.16,1000.0
280,0.645,0.635,0.645,0.6,2.8,121000.0,0.16,121000.0
281,0.645,0.675,0.64,0.595,2.8,121000.0,0.16,31000.0
282,0.645,0.63,0.645,0.59,2.8,121000.0,0.16,61000.0
283,0.645,0.63,0.645,0.605,2.8,121000.0,0.16,91000.0
284,0.645,0.64,0.64,0.55,2.8,121000.0,1.0,1000.0
285,0.645,0.57,0.645,0.535,2.8,121000.0,1.0,121000.0
286,0.645,0.655,0.645,0.605,2.8,121000.0,1.0,31000.0
287,0.645,0.665,0.64,0.6,2.8,121000.0,1.0,61000.0
288,0.645,0.63,0.64,0.615,2.8,121000.0,1.0,91000.0
289,0.645,0.64,0.65,0.535,2.8,121000.0,2.8,1000.0
290,0.645,0.57,0.645,0.555,2.8,121000.0,2.8,121000.0
291,0.645,0.635,0.65,0.59,2.8,121000.0,2.8,31000.0
292,0.645,0.635,0.65,0.605,2.8,121000.0,2.8,61000.0
293,0.645,0.635,0.645,0.565,2.8,121000.0,2.8,91000.0
294,0.645,0.565,0.645,0.575,2.8,121000.0,0.41,1000.0
295,0.645,0.58,0.65,0.565,2.8,121000.0,0.41,121000.0
296,0.645,0.66,0.645,0.605,2.8,121000.0,0.41,31000.0
297,0.645,0.735,0.645,0.57,2.8,121000.0,0.41,61000.0
298,0.645,0.715,0.645,0.565,2.8,121000.0,0.41,91000.0
299,0.635,0.635,0.635,0.515,2.8,31000.0,1.4,1000.0
300,0.635,0.635,0.635,0.56,2.8,31000.0,1.4,121000.0
301,0.635,0.605,0.635,0.575,2.8,31000.0,1.4,31000.0
302,0.635,0.635,0.635,0.51,2.8,31000.0,1.4,61000.0
303,0.635,0.57,0.635,0.595,2.8,31000.0,1.4,91000.0
304,0.635,0.65,0.635,0.55,2.8,31000.0,0.16,1000.0
305,0.635,0.635,0.635,0.585,2.8,31000.0,0.16,121000.0
306,0.635,0.675,0.635,0.51,2.8,31000.0,0.16,31000.0
307,0.635,0.63,0.635,0.555,2.8,31000.0,0.16,61000.0
308,0.635,0.63,0.635,0.6,2.8,31000.0,0.16,91000.0
309,0.635,0.64,0.635,0.555,2.8,31000.0,1.0,1000.0
310,0.635,0.57,0.635,0.53,2.8,31000.0,1.0,121000.0
311,0.635,0.655,0.635,0.485,2.8,31000.0,1.0,31000.0
312,0.635,0.665,0.635,0.56,2.8,31000.0,1.0,61000.0
313,0.635,0.63,0.635,0.52,2.8,31000.0,1.0,91000.0
314,0.635,0.64,0.635,0.5,2.8,31000.0,2.8,1000.0
315,0.635,0.57,0.635,0.565,2.8,31000.0,2.8,121000.0
316,0.635,0.635,0.635,0.575,2.8,31000.0,2.8,31000.0
317,0.635,0.635,0.635,0.535,2.8,31000.0,2.8,61000.0
318,0.635,0.635,0.635,0.555,2.8,31000.0,2.8,91000.0
319,0.635,0.565,0.635,0.575,2.8,31000.0,0.41,1000.0
320,0.635,0.58,0.635,0.59,2.8,31000.0,0.41,121000.0
321,0.635,0.66,0.635,0.59,2.8,31000.0,0.41,31000.0
322,0.635,0.735,0.635,0.595,2.8,31000.0,0.41,61000.0
